model,scale_pct,noise_ratio_pct,epoch,checkpoint_name,checkpoint_kind,changed_positions,train_subset_utterances,acc_em,acc_sc,acc_gen,loss_em,loss_sc,loss_gen,ntokens_em,ntokens_sc,ntokens_gen,nsentences_em,nsentences_sc,nsentences_gen
hubert_base_ls960,10,30,14,checkpoint14.pt,epoch,51307,12027,99.573,0.212,72.876,0.058,11.048,2.061,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,15,checkpoint15.pt,epoch,51307,12027,99.791,0.142,74.384,0.035,11.49,2.058,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,16,checkpoint16.pt,epoch,51307,12027,99.904,0.055,73.53,0.02,12.251,2.166,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,17,checkpoint17.pt,epoch,51307,12027,99.916,0.049,74.495,0.016,12.379,2.148,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,18,checkpoint18.pt,epoch,51307,12027,99.934,0.047,74.289,0.014,12.615,2.197,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,19,checkpoint19.pt,epoch,51307,12027,99.943,0.035,74.814,0.011,12.736,2.188,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,20,checkpoint20.pt,epoch,51307,12027,99.961,0.023,75.098,0.01,12.826,2.193,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,21,checkpoint21.pt,epoch,51307,12027,99.965,0.021,74.931,0.009,12.993,2.222,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,22,checkpoint22.pt,epoch,51307,12027,99.959,0.029,74.836,0.009,13.14,2.243,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,23,checkpoint23.pt,epoch,51307,12027,99.965,0.023,74.758,0.008,13.252,2.263,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,24,checkpoint24.pt,epoch,51307,12027,99.963,0.025,74.973,0.008,13.248,2.255,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,25,checkpoint25.pt,epoch,51307,12027,99.967,0.021,75.09,0.007,13.251,2.253,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,26,checkpoint26.pt,epoch,51307,12027,99.973,0.018,75.188,0.007,13.256,2.25,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,27,checkpoint27.pt,epoch,51307,12027,99.979,0.012,74.999,0.007,13.359,2.271,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,28,checkpoint28.pt,epoch,51307,12027,99.971,0.019,75.055,0.007,13.36,2.269,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,29,checkpoint_last.pt,last,51307,12027,99.981,0.01,75.044,0.007,13.386,2.273,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,1,checkpoint1.pt,epoch,68410,12027,9.225,10.608,14.724,3.612,3.462,3.314,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,2,checkpoint2.pt,epoch,68410,12027,12.251,15.346,21.964,3.457,3.27,3.109,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,3,checkpoint3.pt,epoch,68410,12027,8.353,66.902,72.669,2.844,1.593,1.332,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,4,checkpoint4.pt,epoch,68410,12027,4.417,84.358,87.064,3.051,1.161,0.969,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,5,checkpoint5.pt,epoch,68410,12027,5.173,84.466,87.91,3.026,1.147,0.942,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,6,checkpoint6.pt,epoch,68410,12027,7.164,82.975,88.046,2.968,1.161,0.915,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,7,checkpoint7.pt,epoch,68410,12027,11.412,78.363,87.244,2.838,1.253,0.899,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,8,checkpoint8.pt,epoch,68410,12027,22.75,64.761,83.56,2.438,1.653,0.986,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,9,checkpoint9.pt,epoch,68410,12027,45.157,41.326,77.634,1.815,2.405,1.116,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,10,checkpoint10.pt,epoch,68410,12027,66.248,23.049,73.118,1.226,3.665,1.305,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,11,checkpoint11.pt,epoch,68410,12027,84.476,8.622,68.284,0.665,5.685,1.704,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,12,checkpoint12.pt,epoch,68410,12027,95.182,1.89,64.15,0.279,8.073,2.186,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,13,checkpoint13.pt,epoch,68410,12027,98.149,0.848,65.959,0.143,9.509,2.376,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,14,checkpoint14.pt,epoch,68410,12027,99.503,0.265,66.016,0.064,10.755,2.545,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
